Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10058.6817,8.6357,8.5246,0.1111,21.5456,21.1816,21.1567,0.0249,42.7272,21.3585,57.1750,10058.6817,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10067.3174,12.8728,5.3765,7.4963,34.0915,21.3585,21.3319,0.0266,55.4500,21.6590,-12.7228,10067.3174,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10080.1902,21.1918,12.8710,8.3208,42.5772,21.6590,21.6314,0.0276,64.2362,21.2568,-8.7862,10080.1902,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10101.3820,21.4931,10.2140,11.2791,43.0444,21.2568,21.2307,0.0261,64.3012,20.9579,-0.0650,10101.3820,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10122.8751,21.4588,4.9093,16.5495,42.8081,20.9579,20.9402,0.0177,63.7660,20.0819,0.5352,10122.8751,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10144.3339,21.3368,4.2941,17.0427,42.3072,20.0819,20.0664,0.0155,62.3891,19.5902,1.3769,10144.3339,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10165.6707,20.8909,5.4754,15.4155,41.0523,19.5902,19.5617,0.0285,60.6425,18.6895,1.7466,10165.6707,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10186.5616,20.2479,14.9760,5.2719,39.7516,18.6895,18.6709,0.0186,58.4411,18.2565,2.2014,10186.5616,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10206.8095,25.7907,25.6951,0.0956,38.1932,18.2565,18.2395,0.0170,56.4497,17.8681,1.9914,10206.8095,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10232.6002,27.5588,27.4671,0.0917,30.6590,17.8681,17.8399,0.0282,48.5271,19.3188,7.9226,10232.6002,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10260.1590,24.6743,24.5622,0.1121,20.9683,19.3188,17.5930,1.7258,40.2871,18.5607,8.2400,10260.1590,NA,NA,NA
benchmark.exe,4242,0x0000000000004242,DXGI,0,512,1,Hardware: Independent Flip,10284.8333,19.0053,18.9156,0.0897,15.6128,18.5607,17.1525,1.4082,34.1735,17.2826,6.1136,10284.8333,NA,NA,NA
